# RRmean,RRSTD,pNN50,pNN25,pNN10,RMSSD,SDSD
1.250289351851851961e+03,4.483646762980080780e+01,2.500000000000000000e+00,7.500000000000000000e+00,4.625000000000000000e+01,4.788195217352551225e+01,4.757683813299701114e+01
1.232735339506172750e+03,2.951302208139687622e+01,3.750000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+01,3.504619729609662215e+01,3.482479246889648294e+01
1.226514274691357969e+03,2.541560697613652664e+01,3.750000000000000000e+00,5.000000000000000000e+00,4.125000000000000000e+01,3.475842955512301558e+01,3.453964338523840638e+01
1.229373094512195166e+03,2.350310297708115570e+01,3.703703703703703720e+00,3.703703703703703720e+00,4.444444444444444287e+01,3.180356866737550092e+01,3.160366043992626928e+01
1.216749237804878021e+03,3.908271153197951264e+01,1.728395061728394921e+01,2.592592592592592737e+01,5.925925925925925952e+01,5.317201217198732621e+01,5.284222039645626978e+01
1.187595274390243958e+03,1.502442093061540049e+02,2.716049382716049365e+01,3.703703703703703809e+01,5.802469135802468969e+01,1.407504052381627559e+02,1.398788690082169239e+02
1.199075838414634063e+03,1.506986461010907306e+02,1.728395061728394921e+01,1.975308641975308532e+01,5.308641975308641747e+01,1.372131129101449574e+02,1.363633515027281931e+02
1.233844521604938336e+03,2.329037773430215452e+01,3.750000000000000000e+00,5.000000000000000000e+00,4.375000000000000000e+01,3.056571312644294025e+01,3.037372344674401603e+01
1.233217592592592609e+03,8.515010977755880006e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.375000000000000000e+01,9.578407153782890759e+00,9.518228610030478265e+00
1.202752976190476147e+03,1.274659386418024098e+02,7.228915662650602592e+00,7.228915662650602592e+00,3.975903614457831026e+01,1.276113768547419056e+02,1.268402953430795321e+02
1.199637276785714221e+03,1.268665539553509660e+02,7.228915662650602592e+00,7.228915662650602592e+00,3.493975903614457934e+01,1.275610590659047574e+02,1.267902553844611759e+02
1.222704475308642031e+03,1.374565118639239358e+01,3.750000000000000000e+00,6.250000000000000000e+00,3.625000000000000000e+01,1.805111488840505629e+01,1.793734252009894448e+01
1.216796875000000000e+03,3.969219029863588588e+01,6.172839506172839386e+00,9.876543209876542662e+00,4.938271604938271508e+01,5.209940344529358214e+01,5.177678095944685310e+01
1.203171502976190368e+03,6.694430906043920970e+01,9.638554216867470714e+00,1.325301204819277068e+01,5.060240963855421370e+01,7.670561808590888120e+01,7.624177264295200018e+01
1.210937500000000000e+03,5.863184737073515862e+01,7.407407407407407440e+00,9.876543209876542662e+00,3.456790123456789843e+01,6.028484125351030087e+01,5.991124636432606820e+01
