# slp_min,pks_max,n_peak,dur_min,slp_max,dur_max,pks_mean,latency,dur_mean,slp_mean,pha_auc,pha_min,pha_std,pks_min,pha_max,pha_mean
0.000000000000000000e+00,1.242582635811419201e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.242582635811419201e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.210669804250588373e-03,-4.224806357595839446e-03,3.371719344201803362e-03,1.242582635811419201e-02,1.242582635811419201e-02,1.210669804250588373e-03
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,-2.737423074562546246e-04,-4.284063189786614656e-03,1.682012589760536287e-03,nan,3.610268667717728142e-03,-2.737423074562546246e-04
5.586127958420354922e-01,2.795131804427610778e-01,1.000000000000000000e+00,1.000000000000000000e+00,5.586127958420354922e-01,1.000000000000000000e+00,2.795131804427610778e-01,1.575000000000000000e+01,1.000000000000000000e+00,5.586127958420354922e-01,5.741795479382774854e-03,-2.399449361915582946e-02,3.976942091203559959e-02,2.795131804427610778e-01,2.795131804427610778e-01,5.741795479382774854e-03
5.586127958420354922e-01,2.795131804427610778e-01,4.000000000000000000e+00,1.000000000000000000e+00,5.586127958420354922e-01,1.000000000000000000e+00,8.257363901389272454e-02,5.750000000000000000e+00,1.000000000000000000e+00,5.586127958420354922e-01,8.721797968587735941e-03,-2.399449361915582946e-02,3.981200461543417390e-02,1.360091885561959257e-02,2.795131804427610778e-01,8.721797968587735941e-03
0.000000000000000000e+00,2.255548540882520991e-02,5.000000000000000000e+00,5.000000000000000000e-01,0.000000000000000000e+00,5.000000000000000000e-01,1.723235732346075147e-02,1.750000000000000000e+00,5.000000000000000000e-01,0.000000000000000000e+00,5.171820804034366580e-03,-1.722675488928016030e-02,9.453120966645843851e-03,1.282492559566869583e-02,3.831852110791977850e-02,5.171820804034366580e-03
2.502795850050828497e-01,2.992177514474896327e-01,8.000000000000000000e+00,2.500000000000000000e-01,7.500530117064089231e-01,1.250000000000000000e+00,6.266643211332062480e-02,1.500000000000000000e+00,7.916666666666666297e-01,5.147517529929162006e-01,1.544424936052187294e-02,-3.263017252082889286e-02,4.371241222127381781e-02,1.282492559566869583e-02,2.992177514474896327e-01,1.544424936052187294e-02
2.501631835558916772e-01,2.992177514474896327e-01,8.000000000000000000e+00,2.500000000000000000e-01,7.500530117064089231e-01,1.250000000000000000e+00,6.330447923469026406e-02,0.000000000000000000e+00,7.500000000000000000e-01,4.521586338881539713e-01,1.364749019181200548e-02,-3.263017252082889286e-02,4.418640042610606083e-02,9.235955218463542948e-03,2.992177514474896327e-01,1.364749019181200548e-02
2.501631835558916772e-01,9.808619122258938061e-02,5.000000000000000000e+00,2.500000000000000000e-01,5.056834333847375351e-01,2.000000000000000000e+00,4.894687923428546472e-02,1.750000000000000000e+00,9.499999999999999556e-01,4.393450583980346713e-01,9.589149813794150060e-03,-2.751954442082085728e-02,2.193720831894359694e-02,9.235955218463542948e-03,9.808619122258938061e-02,9.589149813794150060e-03
5.007210407905783311e-01,9.808619122258938061e-02,7.000000000000000000e+00,2.500000000000000000e-01,4.500004578038786285e+00,2.000000000000000000e+00,6.055397095615011605e-02,5.000000000000000000e-01,1.000000000000000000e+00,1.786829917154189928e+00,1.516374837572473724e-02,-1.015359757783501626e-01,3.193859415487349668e-02,2.495367166762529898e-02,9.808619122258938061e-02,1.516374837572473724e-02
2.501296165260988302e-01,8.277150646249237242e-02,5.000000000000000000e+00,2.500000000000000000e-01,7.510477335237598639e-01,1.750000000000000000e+00,4.872153879024179041e-02,2.500000000000000000e-01,8.000000000000000444e-01,4.171378628229567842e-01,7.968455011201113977e-03,-1.015359757783501626e-01,2.644885003975330426e-02,2.397950545413440882e-02,8.277150646249237242e-02,7.968455011201113977e-03
0.000000000000000000e+00,2.397950545413440882e-02,1.000000000000000000e+00,2.500000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.397950545413440882e-02,1.250000000000000000e+00,2.500000000000000000e-01,0.000000000000000000e+00,1.616538643290217582e-03,-1.028254344357898420e-02,5.931162214249898444e-03,2.397950545413440882e-02,2.397950545413440882e-02,1.616538643290217582e-03
