# slp_min,pks_max,n_peak,dur_min,slp_max,dur_max,pks_mean,latency,dur_mean,slp_mean,pha_auc,pha_min,pha_std,pks_min,pha_max,pha_mean
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,1.458256226013268585e-05,-9.866297327407735906e-04,3.006238026068302517e-04,nan,1.364339323137953031e-03,1.458256226013268585e-05
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,-2.320636815777571348e-05,-8.197001289171890193e-04,2.058839404477673439e-04,nan,1.364339323137953031e-03,-2.320636815777571348e-05
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,-2.165884315813437766e-05,-2.848950841172204207e-05,2.760706723964358896e-06,nan,-1.870159110417546344e-05,-2.165884315813437766e-05
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,-2.064551988477103596e-05,-2.109003447947621623e-05,1.800985461286601732e-07,nan,-2.018828097427594059e-05,-2.064551988477103596e-05
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,-2.058854563628045796e-05,-2.062110864042843161e-05,1.264321451557379096e-08,nan,-2.057410248168523026e-05,-2.058854563628045796e-05
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,-2.058431341548580608e-05,-2.058663993453890839e-05,9.021404747535292275e-10,nan,-2.058323623388425005e-05,-2.058431341548580608e-05
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,-2.058401373248447408e-05,-2.058418083872304294e-05,6.478723918587886297e-11,nan,-2.058393955683968102e-05,-2.058401373248447408e-05
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,-2.058399220153037112e-05,-2.058400419358008548e-05,4.650048342472096846e-12,nan,-2.058398685789164517e-05,-2.058399220153037112e-05
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,-2.058399065827318377e-05,-2.058399151994017018e-05,3.338696726477516158e-13,nan,-2.058399027604629339e-05,-2.058399065827318377e-05
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,-2.058399054615800552e-05,-2.058399061199978064e-05,2.428510977477231339e-14,nan,-2.058399051452219908e-05,-2.058399054615800552e-05
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,-2.058399053755793770e-05,-2.058399054805093442e-05,4.624231958866855984e-15,nan,-2.058399052273784946e-05,-2.058399053755793770e-05
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,-2.058399053492948605e-05,-2.058399054805093442e-05,5.527210337339516183e-15,nan,-2.058399052251580486e-05,-2.058399053492948605e-05
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,-2.058399053294357326e-05,-2.058399054583048837e-05,4.090451530794362181e-15,nan,-2.058399052251580486e-05,-2.058399053294357326e-05
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,-2.058399053365203500e-05,-2.058399054560844377e-05,4.201198512098438622e-15,nan,-2.058399052495829551e-05,-2.058399053365203500e-05
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,-2.058399053536941125e-05,-2.058399054560844377e-05,4.559692010643895267e-15,nan,-2.058399052495829551e-05,-2.058399053536941125e-05
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,-2.058399053680506772e-05,-2.058399054560844377e-05,3.776290588153903338e-15,nan,-2.058399052651260774e-05,-2.058399053680506772e-05
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,-2.058399053714854296e-05,-2.058399054671866679e-05,3.965625885609431793e-15,nan,-2.058399052717874156e-05,-2.058399053714854296e-05
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,-2.058399053488715812e-05,-2.058399054671866679e-05,4.886228917887653663e-15,nan,-2.058399052251580486e-05,-2.058399053488715812e-05
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,-2.058399053228021771e-05,-2.058399054427617614e-05,4.606786795273431659e-15,nan,-2.058399052207171565e-05,-2.058399053228021771e-05
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,-2.058399053356460426e-05,-2.058399054405413153e-05,4.735730325964277619e-15,nan,-2.058399052207171565e-05,-2.058399053356460426e-05
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,-2.058399053421477998e-05,-2.058399054427617614e-05,3.947087804486928427e-15,nan,-2.058399052207171565e-05,-2.058399053421477998e-05
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,-2.058399053376861045e-05,-2.058399054472026535e-05,4.067263958593973593e-15,nan,-2.058399052029535881e-05,-2.058399053376861045e-05
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,-2.058399053533610591e-05,-2.058399054605253298e-05,4.195445076844125724e-15,nan,-2.058399052029535881e-05,-2.058399053533610591e-05
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,-2.058399053695217362e-05,-2.058399054760684521e-05,3.753820714531225517e-15,nan,-2.058399052717874156e-05,-2.058399053695217362e-05
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,-2.058399053538884218e-05,-2.058399054760684521e-05,4.529039811440792088e-15,nan,-2.058399052473625090e-05,-2.058399053538884218e-05
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,-2.058399053199502849e-05,-2.058399054694071140e-05,4.685883860615561994e-15,nan,-2.058399051851900197e-05,-2.058399053199502849e-05
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,-2.058399053227605370e-05,-2.058399054316595311e-05,4.804479516252487488e-15,nan,-2.058399051851900197e-05,-2.058399053227605370e-05
