# slp_min,pks_max,n_peak,dur_min,slp_max,dur_max,pks_mean,latency,dur_mean,slp_mean,pha_auc,pha_min,pha_std,pks_min,pha_max,pha_mean
1.946776855145068708e-01,1.151541200386763109e-01,7.000000000000000000e+00,5.625000000000000000e-01,4.434423330691738552e-01,1.125000000000000000e+00,7.700529909623833602e-02,6.250000000000000000e-01,7.291666666666666297e-01,2.975899648872319392e-01,9.007965116991683424e-03,-1.072235329665049974e-01,3.645775056274646458e-02,1.543834723283232790e-02,1.151541200386763109e-01,9.007965116991683424e-03
6.268187816238079968e-02,1.151541200386763109e-01,9.000000000000000000e+00,2.500000000000000000e-01,1.812860300957069626e+00,1.125000000000000000e+00,7.158083492586245211e-02,1.875000000000000000e-01,6.160714285714286031e-01,4.178749495251734558e-01,1.028277045321434810e-02,-1.072235329665049974e-01,4.125837954906828864e-02,3.140168697665401965e-02,1.151541200386763109e-01,1.028277045321434810e-02
6.268187816238079968e-02,5.647391101430176974e-02,7.000000000000000000e+00,2.500000000000000000e-01,1.812860300957069626e+00,2.750000000000000000e+00,3.655977448779586941e-02,2.500000000000000000e+00,9.749999999999999778e-01,5.420268596359154589e-01,6.109231800413170328e-03,-7.168397315307561968e-02,2.519922989039458799e-02,1.136322911162590543e-02,5.647391101430176974e-02,6.109231800413170328e-03
1.250923959339104719e-01,5.212483629895459103e-02,5.000000000000000000e+00,3.125000000000000000e-01,7.505308816381059955e-01,1.125000000000000000e+00,2.921047653293840085e-02,2.250000000000000000e+00,7.291666666666666297e-01,4.170863392894411104e-01,3.781425947778768813e-03,-1.828513006674370445e-02,1.414743057750362729e-02,1.076272914204690068e-02,5.212483629895459103e-02,3.781425947778768813e-03
0.000000000000000000e+00,1.605431333125206805e-02,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.187590915729308527e-02,4.125000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.280915891287834427e-03,-2.502880111533478669e-02,8.394740151093139230e-03,1.011639697822719342e-02,2.889903765584822537e-02,-1.280915891287834427e-03
0.000000000000000000e+00,1.605431333125206805e-02,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.257210993404900279e-02,3.750000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.076935730088746188e-03,-2.502880111533478669e-02,7.896264071198049253e-03,1.011639697822719342e-02,1.605431333125206805e-02,-1.076935730088746188e-03
0.000000000000000000e+00,1.354753224907057074e-02,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.136284252118624494e-02,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.202985748591210557e-04,-1.492111533172302273e-02,5.915619379460904971e-03,8.019846510010530949e-03,1.354753224907057074e-02,-6.202985748591210557e-04
0.000000000000000000e+00,1.580142313430421552e-02,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.211413948293079378e-02,3.125000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.720734065243839704e-04,-1.478268647773894884e-02,6.304622557918993300e-03,8.019846510010530949e-03,1.580142313430421552e-02,-1.720734065243839704e-04
1.879045721429594973e-01,8.712468277096530045e-02,5.000000000000000000e+00,9.375000000000000000e-01,3.187888683989790195e-01,3.062500000000000000e+00,3.731854376941168283e-02,5.312500000000000000e+00,2.000000000000000000e+00,2.533467202709692723e-01,-2.244027973019990969e-03,-1.001015511858316387e-01,3.760341545682829162e-02,-2.319482529039884611e-02,8.712468277096530045e-02,-2.244027973019990969e-03
1.879045721429594973e-01,8.712468277096530045e-02,7.000000000000000000e+00,2.500000000000000000e-01,2.937500569299542619e+00,3.062500000000000000e+00,3.552184255462810525e-02,2.562500000000000000e+00,9.583333333333333703e-01,1.064075395890820674e+00,1.428298986527459704e-03,-1.001015511858316387e-01,3.888385176755616152e-02,-2.319482529039884611e-02,8.712468277096530045e-02,1.428298986527459704e-03
3.136383142171106364e-01,4.676750540144780643e-02,6.000000000000000000e+00,2.500000000000000000e-01,7.812501898106559040e+00,6.875000000000000000e-01,3.001664102066969875e-02,3.375000000000000000e+00,4.375000000000000000e-01,2.614802715521610477e+00,6.179343358796668059e-03,-1.890349833833138149e-02,1.412023981697937969e-02,8.571976543198189802e-03,4.676750540144780643e-02,6.179343358796668059e-03
6.250002445020898245e-02,4.207053733108434557e-02,7.000000000000000000e+00,6.250000000000000000e-02,9.377596076232893596e-01,1.250000000000000000e+00,2.427345778959085973e-02,1.250000000000000000e-01,4.687500000000000000e-01,3.959600801629761802e-01,2.622440444949972020e-03,-2.291064448663870934e-02,1.305351727610132122e-02,1.208508645875383536e-02,4.207053733108434557e-02,2.622440444949972020e-03
6.250002445020898245e-02,2.589317193105067361e-02,6.000000000000000000e+00,6.250000000000000000e-02,1.875783216881879434e-01,4.375000000000000000e-01,1.737859078880621411e-02,2.750000000000000000e+00,2.083333333333333426e-01,1.250391730691984560e-01,-2.022663421342302259e-04,-2.291064448663870934e-02,9.717185573012520824e-03,1.070241222902623690e-02,2.589317193105067361e-02,-2.022663421342302259e-04
1.875783216881879434e-01,5.524084048360489163e-02,4.000000000000000000e+00,4.375000000000000000e-01,2.517784119974076362e-01,6.875000000000000000e-01,2.556716992493801577e-02,4.937500000000000000e+00,5.625000000000000000e-01,2.196783668427977898e-01,-1.575155365309111152e-04,-2.392903770592180734e-02,1.203181467489149344e-02,1.043225505607026093e-02,5.524084048360489163e-02,-1.575155365309111152e-04
2.517784119974076362e-01,5.524084048360489163e-02,3.000000000000000000e+00,6.875000000000000000e-01,2.517784119974076362e-01,6.875000000000000000e-01,2.541307450799923373e-02,4.812500000000000000e+00,6.875000000000000000e-01,2.517784119974076362e-01,7.593574761548316015e-04,-2.392903770592180734e-02,1.098413653341666872e-02,1.043225505607026093e-02,5.524084048360489163e-02,7.593574761548316015e-04
