,dur_max,dur_mean,dur_min,latency,n_peak,pha_auc,pha_max,pha_mean,pha_min,pha_std,pks_max,pks_mean,pks_min,slp_max,slp_mean,slp_min
0.0,0.0,0.0,0.0,0.0,2,-0.3651293102585474,0.012633464299953934,-0.3651293102585474,-2.5897550977296007,0.6671154992544336,0.012633464299953934,0.006316732149981852,9.769962616701378e-15,0.0,0.0,0.0
5.0,0.0,0.0,0.0,6.5,1,-0.04290391487556154,0.012633464299953934,-0.04290391487556154,-0.5014884479304917,0.10921430712429435,0.012633464299953934,0.012633464299953934,0.012633464299953934,0.0,0.0,0.0
10.0,0.0,0.0,0.0,1.5,2,0.0017490217879158785,0.036181057268811934,0.0017490217879158785,-0.026205336412727265,0.013365240188247949,0.036181057268811934,0.024407260784382934,0.012633464299953934,0.5000229058119539,0.5000229058119539,0.5000229058119539
15.0,2.5,2.5,2.5,14.0,1,0.002953895575132752,0.036181057268811934,0.002953895575132752,-0.026205336412727265,0.01374458039286433,0.036181057268811934,0.036181057268811934,0.036181057268811934,0.5000229058119539,0.5000229058119539,0.5000229058119539
20.0,2.5,2.5,2.5,9.0,1,0.0030704261098032453,0.036181057268811934,0.0030704261098032453,-0.026205336412727265,0.013520118170173491,0.036181057268811934,0.036181057268811934,0.036181057268811934,0.5000229058119539,0.5000229058119539,0.5000229058119539
25.0,2.5,2.5,2.5,4.0,1,0.003136893568432386,0.036181057268811934,0.003136893568432386,-0.026205336412727265,0.013340325424037784,0.036181057268811934,0.036181057268811934,0.036181057268811934,0.5000229058119539,0.5000229058119539,0.5000229058119539
30.0,,,,,0,0.0015897289587341263,0.02735479660263196,0.0015897289587341263,-0.005320457838605908,0.00721937398695492,,,,,,
35.0,,,,,0,-0.0016622267698975953,0.002681764275273002,-0.0016622267698975953,-0.005320457838605908,0.0020127781186331573,,,,,,
40.0,,,,,0,-0.001610584831567437,0.002681764275273002,-0.001610584831567437,-0.004433134642693348,0.001584682117021253,,,,,,
45.0,,,,,0,-0.0018104700623521725,0.001317025181848841,-0.0018104700623521725,-0.004433134642693348,0.001245750465532282,,,,,,
50.0,,,,,0,-0.0014537723982990193,0.001317025181848841,-0.0014537723982990193,-0.003499973786976529,0.0010542923420736646,,,,,,
55.0,,,,,0,-0.001510531833120148,-0.0005271195832918796,-0.001510531833120148,-0.003499973786976529,0.0007347799397305746,,,,,,
60.0,,,,,0,-0.0012788795971287689,-0.0005271195832918796,-0.0012788795971287689,-0.0023643268921518246,0.0005937408616098601,,,,,,
65.0,,,,,0,-0.0012913612655680096,-0.0005271195832918796,-0.0012913612655680096,-0.0023395246746198417,0.0005398024275582074,,,,,,
70.0,,,,,0,-0.001235784049624119,0.0004482668146565949,-0.001235784049624119,-0.0023395246746198417,0.0005755422551549398,,,,,,
75.0,,,,,0,-0.0023194445381267514,0.0004482668146565949,-0.0023194445381267514,-0.01279813579665623,0.0028312711047950405,,,,,,
80.0,1.5,1.5,1.5,18.0,1,-0.0005821926190912799,0.031353935457358206,-0.0005821926190912799,-0.015940650090980002,0.009236529939373865,0.031353935457358206,0.031353935457358206,0.031353935457358206,0.5000664193783744,0.5000664193783744,0.5000664193783744
85.0,1.5,1.5,1.5,13.0,1,0.0010537268386754286,0.031353935457358206,0.0010537268386754286,-0.015940650090980002,0.009552446861557054,0.031353935457358206,0.031353935457358206,0.031353935457358206,0.5000664193783744,0.5000664193783744,0.5000664193783744
90.0,1.5,1.5,1.5,8.0,1,0.0012843066058428156,0.031353935457358206,0.0012843066058428156,-0.015940650090980002,0.009530305075973253,0.031353935457358206,0.031353935457358206,0.031353935457358206,0.5000664193783744,0.5000664193783744,0.5000664193783744
95.0,1.5,1.5,1.5,3.0,1,0.002366795231971534,0.031353935457358206,0.002366795231971534,-0.015940650090980002,0.008931769287696612,0.031353935457358206,0.031353935457358206,0.031353935457358206,0.5000664193783744,0.5000664193783744,0.5000664193783744
100.0,,,,,0,0.0011939360279014913,0.007723165252047526,0.0011939360279014913,-0.003209094934244483,0.003018540436267746,,,,,,
105.0,,,,,0,-0.00014230693119079375,0.005753959812811127,-0.00014230693119079375,-0.0051610918245832416,0.002683684814948512,,,,,,
110.0,,,,,0,-0.00023939956093412492,0.005753959812811127,-0.00023939956093412492,-0.0051610918245832416,0.0026008946823697864,,,,,,
115.0,,,,,0,-0.0006235317757752269,0.005753959812811127,-0.0006235317757752269,-0.0051610918245832416,0.0025311503820154534,,,,,,
120.0,,,,,0,-0.0005504749599853595,0.005753959812811127,-0.0005504749599853595,-0.0051610918245832416,0.002274245301018891,,,,,,
125.0,,,,,0,-0.001031312927494593,0.0019349407501336735,-0.001031312927494593,-0.0030100438342202107,0.0013847518310747997,,,,,,
130.0,,,,,0,-0.0010243832815338668,0.004710378846601637,-0.0010243832815338668,-0.003704740664158823,0.0018158120671820097,,,,,,
135.0,,,,,0,-0.0008086841035281791,0.004710378846601637,-0.0008086841035281791,-0.003704740664158823,0.001786264785774552,,,,,,
140.0,,,,,0,-0.0008401600775748114,0.004710378846601637,-0.0008401600775748114,-0.003704740664158823,0.001710542122986203,,,,,,
145.0,,,,,0,-0.000519274555004754,0.004710378846601637,-0.000519274555004754,-0.003704740664158823,0.0015692862973877726,,,,,,
150.0,,,,,0,-0.00046635493178816777,0.0007914284589243259,-0.00046635493178816777,-0.0015994860938290945,0.0007340696628377386,,,,,,
155.0,,,,,0,-0.0008376093732507793,0.0007644612909873949,-0.0008376093732507793,-0.002756991911890827,0.000893560461516548,,,,,,
160.0,,,,,0,-0.0008832927182130828,0.004527544494578484,-0.0008832927182130828,-0.0040872169121459745,0.0015886045977526455,,,,,,
165.0,,,,,0,-0.0009356671418764149,0.004527544494578484,-0.0009356671418764149,-0.0040872169121459745,0.0015966806497331096,,,,,,
170.0,,,,,0,-0.001164902531483378,0.004527544494578484,-0.001164902531483378,-0.0040872169121459745,0.0015167159624437238,,,,,,
175.0,,,,,0,-0.0010043336583289437,0.004527544494578484,-0.0010043336583289437,-0.0040872169121459745,0.0015065535775783544,,,,,,
180.0,,,,,0,-0.001102117563829058,0.00037299849446159605,-0.001102117563829058,-0.002129576519579235,0.0006716582084232766,,,,,,
185.0,,,,,0,-0.001028766707481765,0.00037299849446159605,-0.001028766707481765,-0.002129576519579235,0.0006322027481166215,,,,,,
190.0,,,,,0,-0.0010415652678649704,0.00037299849446159605,-0.0010415652678649704,-0.002129576519579235,0.0006463771420166473,,,,,,
195.0,,,,,0,-0.0011663526322335926,0.00016909534387243852,-0.0011663526322335926,-0.0025625894854266473,0.0006589477618836397,,,,,,
200.0,,,,,0,-0.0012049027672605772,0.0017898841502694829,-0.0012049027672605772,-0.003856949944265109,0.0010354727276116929,,,,,,
205.0,,,,,0,-0.0010232788091604434,0.0018438798232769393,-0.0010232788091604434,-0.003856949944265109,0.001222382344204027,,,,,,
210.0,,,,,0,-0.000913906355568631,0.0018438798232769393,-0.000913906355568631,-0.00505597362886312,0.001471875282954531,,,,,,
215.0,,,,,0,-0.0016377974516673043,0.0018438798232769393,-0.0016377974516673043,-0.008003548363495705,0.002370702808525437,,,,,,
220.0,,,,,0,-0.0010839727993640486,0.009280612497689189,-0.0010839727993640486,-0.009242369879520984,0.004531139214586644,,,,,,
225.0,,,,,0,-0.0008920764387287516,0.009354989017216653,-0.0008920764387287516,-0.009242369879520984,0.004847362315407491,,,,,,
230.0,,,,,0,-0.000776514973683974,0.009354989017216653,-0.000776514973683974,-0.009242369879520984,0.004922247199537445,,,,,,
235.0,,,,,0,-0.00013971546205565215,0.009354989017216653,-0.00013971546205565215,-0.009242369879520984,0.004559308904360702,,,,,,
240.0,,,,,0,-0.0010165095350205158,0.009354989017216653,-0.0010165095350205158,-0.007933933302685103,0.003497770914419293,,,,,,
245.0,,,,,0,-0.0004072199374627111,0.010091608636983995,-0.0004072199374627111,-0.007933933302685103,0.0043451766550546885,,,,,,
250.0,,,,,0,-0.00027447410494589223,0.010091608636983995,-0.00027447410494589223,-0.007933933302685103,0.004518874690091791,,,,,,
255.0,,,,,0,-0.00012403698066103963,0.010091608636983995,-0.00012403698066103963,-0.007933933302685103,0.004555328326056069,,,,,,
260.0,,,,,0,0.000991132448806109,0.010091608636983995,0.000991132448806109,-0.007607418785601894,0.0039002513654332674,,,,,,
265.0,,,,,0,0.000221141026860314,0.006629963880055545,0.000221141026860314,-0.003828428953570384,0.002151229384780141,,,,,,
270.0,,,,,0,-4.792067289736189e-06,0.0043577558389114035,-4.792067289736189e-06,-0.003828428953570384,0.0022169994225508796,,,,,,
275.0,,,,,0,0.00020637910835700403,0.0043577558389114035,0.00020637910835700403,-0.0035421507682631415,0.002138830668195051,,,,,,
280.0,,,,,0,0.000266857069289016,0.0043577558389114035,0.000266857069289016,-0.0035421507682631415,0.0021892432600618818,,,,,,
